model,language,persona,Care_mean,Care_std,Care_size,Equality_mean,Equality_std,Equality_size,Proportionality_mean,Proportionality_std,Proportionality_size,Loyalty_mean,Loyalty_std,Loyalty_size,Authority_mean,Authority_std,Authority_size,Purity_mean,Purity_std,Purity_size
llama3.1:8b,es,none,4.8566666666666665,0.23086645431480754,50,3.6366666666666667,0.5331313392995302,50,3.4033333333333333,0.4774863320336107,50,3.37,0.6229638033038174,50,3.57,0.6236913737620678,50,2.32,0.32791514858451076,50
mistral:7b,en,Argentina,5.0,0.0,50,2.996666666666667,0.47558294578548066,50,3.83,0.4755829457854807,50,4.286666666666667,0.2630709965130121,50,4.183333333333334,0.2502832862098649,50,3.986666666666667,0.20712917305649095,50
mistral:7b,en,Chile,5.0,0.0,50,2.9466666666666668,0.340800711144436,50,3.916666666666667,0.4482897710419698,50,4.206666666666667,0.22975882060599645,50,4.173333333333334,0.18430478552727267,50,3.98,0.17050013133303019,50
mistral:7b,en,Colombia,5.0,0.0,50,3.003333333333333,0.3875763402236182,50,3.93,0.4247047794172606,50,4.3133333333333335,0.27896797173098675,50,4.1466666666666665,0.1529750324210382,50,3.933333333333333,0.18132793109199796,50
mistral:7b,en,Mexico,5.0,0.0,50,2.9266666666666667,0.3811904018321809,50,3.9433333333333334,0.38921107483083667,50,4.25,0.27612889297007637,50,4.206666666666667,0.20909046095333447,50,4.006666666666667,0.17804684853180883,50
mistral:7b,en,Peru,5.0,0.0,50,3.0,0.4012452272941123,50,3.856666666666667,0.386873625120735,50,4.306666666666667,0.2763546310199409,50,4.223333333333334,0.2092259787982403,50,3.986666666666667,0.1678191446352962,50
mistral:7b,en,none,5.0,0.0,50,3.186666666666667,0.4933112699607569,50,3.94,0.5137122022663756,50,4.3133333333333335,0.30794468979475687,50,4.226666666666667,0.20135594773205684,50,4.023333333333333,0.1934587911025893,50
mistral:7b,es,Argentina,4.97,0.09337462643394082,50,3.726666666666667,0.32777681694005767,50,3.816666666666667,0.21626073957839234,50,4.223333333333333,0.32924361883598846,50,4.026666666666667,0.257231025448943,50,3.9466666666666668,0.26607076275617125,50
mistral:7b,es,Chile,4.9,0.17169291787923752,50,3.703333333333333,0.34055110730893595,50,3.793333333333333,0.2417809957102116,50,4.31,0.39556784867136807,50,3.95,0.3198816391082001,50,3.893333333333333,0.27096869981822463,50
mistral:7b,es,Colombia,4.9366666666666665,0.13838229606400365,50,3.6933333333333334,0.41562454712436775,50,3.733333333333333,0.22837292968155803,50,4.376666666666667,0.34961916436417345,50,4.086666666666667,0.27610836217760426,50,3.96,0.3239495495560943,50
mistral:7b,es,Mexico,4.98,0.06424160744396216,50,3.713333333333333,0.3499919014288183,50,3.8266666666666667,0.21017215705441836,50,4.433333333333334,0.33162829231390767,50,4.183333333333334,0.23868973399718363,50,3.996666666666667,0.23687784005919832,50
mistral:7b,es,Peru,4.946666666666667,0.11388819755334656,50,3.6966666666666668,0.3328057048612728,50,3.8033333333333332,0.23735599524917358,50,4.503333333333333,0.32030668410460333,50,4.136666666666667,0.2967893195968436,50,3.996666666666667,0.2786629886161594,50
mistral:7b,es,none,4.956666666666667,0.09410034688271196,50,3.78,0.3506391960477161,50,3.736666666666667,0.2937172811903332,50,4.126666666666667,0.33258419219493757,50,4.013333333333333,0.28934204820882486,50,3.97,0.27906955870195577,50
qwen2.5:7b,en,Argentina,4.986666666666667,0.0456745859363117,50,3.09,0.4557642904346217,50,3.0966666666666667,0.37809943622474407,50,3.97,0.4488458366009578,50,3.956666666666667,0.49465395953387425,50,2.26,0.39863713402774,50
qwen2.5:7b,en,Chile,5.0,0.0,50,2.973333333333333,0.4860409732362068,50,2.953333333333333,0.3689170275856488,50,3.986666666666667,0.523636335005382,50,4.033333333333333,0.4821061126503949,50,2.466666666666667,0.3779644730092272,50
qwen2.5:7b,en,Colombia,4.986666666666667,0.045674585936311636,50,2.94,0.44257543523451,50,3.13,0.36930098829362545,50,3.996666666666667,0.5297177616707583,50,3.98,0.5179761767957008,50,2.3866666666666667,0.2765186883991997,50
qwen2.5:7b,en,Mexico,4.97,0.1455694892155502,50,2.92,0.43804347520286213,50,3.126666666666667,0.34921356413903065,50,4.023333333333333,0.5216513983551617,50,4.06,0.5224658089693045,50,2.4366666666666665,0.3382125886214776,50
qwen2.5:7b,en,Peru,4.986666666666667,0.04567458593631164,50,3.023333333333333,0.37345296916935333,50,3.04,0.3077973830703298,50,4.003333333333333,0.5768492888448561,50,4.116666666666667,0.5075953715554248,50,2.4233333333333333,0.3071520855018209,50
qwen2.5:7b,en,none,4.99,0.03998298958034914,50,2.933333333333333,0.402655583935423,50,3.103333333333333,0.3529756885887383,50,3.75,0.45705604334410643,50,3.956666666666667,0.5761806374602734,50,2.23,0.31023727295874665,50
qwen2.5:7b,es,Argentina,4.636666666666667,0.39939012463420864,50,2.816666666666667,0.3813242232868326,50,3.126666666666667,0.32743073214611595,50,2.5466666666666664,0.27977963469654066,50,3.486666666666667,0.43752550946038726,50,2.0533333333333332,0.28855728395320224,50
qwen2.5:7b,es,Chile,4.73,0.32972537188041484,50,2.876666666666667,0.36235873782107625,50,3.1,0.31406918948268864,50,2.783333333333333,0.4195478615882405,50,3.603333333333333,0.4080955159192252,50,2.0633333333333335,0.33821258862147763,50
qwen2.5:7b,es,Colombia,4.6066666666666665,0.3937723826557717,50,2.8466666666666667,0.3313546715640915,50,3.13,0.28230104064813577,50,2.81,0.40547556133385193,50,3.706666666666667,0.24871552108953512,50,2.0533333333333332,0.30199638087062713,50
qwen2.5:7b,es,Mexico,4.723333333333333,0.3023153284620698,50,2.786666666666667,0.3795211208604051,50,3.1333333333333333,0.29546842014263947,50,2.71,0.35763458212408067,50,3.67,0.3273095160156155,50,2.1033333333333335,0.2952572958426249,50
qwen2.5:7b,es,Peru,4.743333333333333,0.31444801004364475,50,2.8466666666666667,0.3279151485845109,50,3.296666666666667,0.41960190614103293,50,3.3866666666666667,0.5628724516490364,50,4.016666666666667,0.45206756062017917,50,2.2,0.2714703393093186,50
qwen2.5:7b,es,none,4.75,0.2569884898205107,50,3.013333333333333,0.4257046978786097,50,3.006666666666667,0.2755328788855131,50,2.4166666666666665,0.2881837723073859,50,3.506666666666667,0.5563078806289612,50,2.07,0.32136683710509034,50
